Rainfall - (MM), Year, Statistics, Country, ISO3
101.303, 1996, Dec Average, Sao Tome and Principe, STP
118.949, 1997, Jan Average, Sao Tome and Principe, STP
88.8111, 1997, Feb Average, Sao Tome and Principe, STP
159.411, 1997, Mar Average, Sao Tome and Principe, STP
295.628, 1997, Apr Average, Sao Tome and Principe, STP
226.349, 1997, May Average, Sao Tome and Principe, STP
32.7314, 1997, Jun Average, Sao Tome and Principe, STP
103.733, 1997, Jul Average, Sao Tome and Principe, STP
177.446, 1997, Aug Average, Sao Tome and Principe, STP
209.644, 1997, Sep Average, Sao Tome and Principe, STP
192.679, 1997, Oct Average, Sao Tome and Principe, STP
362.979, 1997, Nov Average, Sao Tome and Principe, STP
261.666, 1997, Dec Average, Sao Tome and Principe, STP
128.528, 1998, Jan Average, Sao Tome and Principe, STP
130.395, 1998, Feb Average, Sao Tome and Principe, STP
203.586, 1998, Mar Average, Sao Tome and Principe, STP
189.45, 1998, Apr Average, Sao Tome and Principe, STP
214.62, 1998, May Average, Sao Tome and Principe, STP
300.495, 1998, Jun Average, Sao Tome and Principe, STP
54.7976, 1998, Jul Average, Sao Tome and Principe, STP
192.565, 1998, Aug Average, Sao Tome and Principe, STP
338.066, 1998, Sep Average, Sao Tome and Principe, STP
261.807, 1998, Oct Average, Sao Tome and Principe, STP
236.54, 1998, Nov Average, Sao Tome and Principe, STP
182.467, 1998, Dec Average, Sao Tome and Principe, STP
155.457, 1999, Jan Average, Sao Tome and Principe, STP
228.944, 1999, Feb Average, Sao Tome and Principe, STP
202.283, 1999, Mar Average, Sao Tome and Principe, STP
223.34, 1999, Apr Average, Sao Tome and Principe, STP
281.795, 1999, May Average, Sao Tome and Principe, STP
67.0776, 1999, Jun Average, Sao Tome and Principe, STP
88.0996, 1999, Jul Average, Sao Tome and Principe, STP
408.041, 1999, Aug Average, Sao Tome and Principe, STP
311.632, 1999, Sep Average, Sao Tome and Principe, STP
290.416, 1999, Oct Average, Sao Tome and Principe, STP
296.892, 1999, Nov Average, Sao Tome and Principe, STP
152.054, 1999, Dec Average, Sao Tome and Principe, STP
187.654, 2000, Jan Average, Sao Tome and Principe, STP
175.327, 2000, Feb Average, Sao Tome and Principe, STP
227.992, 2000, Mar Average, Sao Tome and Principe, STP
154.642, 2000, Apr Average, Sao Tome and Principe, STP
191.147, 2000, May Average, Sao Tome and Principe, STP
91.882, 2000, Jun Average, Sao Tome and Principe, STP
244.659, 2000, Jul Average, Sao Tome and Principe, STP
56.1953, 2000, Aug Average, Sao Tome and Principe, STP
183.106, 2000, Sep Average, Sao Tome and Principe, STP
371.047, 2000, Oct Average, Sao Tome and Principe, STP
402.447, 2000, Nov Average, Sao Tome and Principe, STP
194.131, 2000, Dec Average, Sao Tome and Principe, STP
204.988, 2001, Jan Average, Sao Tome and Principe, STP
132.457, 2001, Feb Average, Sao Tome and Principe, STP
191.826, 2001, Mar Average, Sao Tome and Principe, STP
210.318, 2001, Apr Average, Sao Tome and Principe, STP
410.578, 2001, May Average, Sao Tome and Principe, STP
258.676, 2001, Jun Average, Sao Tome and Principe, STP
254.052, 2001, Jul Average, Sao Tome and Principe, STP
31.6076, 2001, Aug Average, Sao Tome and Principe, STP
35.8932, 2001, Sep Average, Sao Tome and Principe, STP
306.048, 2001, Oct Average, Sao Tome and Principe, STP
132.437, 2001, Nov Average, Sao Tome and Principe, STP
110.35, 2001, Dec Average, Sao Tome and Principe, STP
112.95, 2002, Jan Average, Sao Tome and Principe, STP
222.805, 2002, Feb Average, Sao Tome and Principe, STP
207.316, 2002, Mar Average, Sao Tome and Principe, STP
271.82, 2002, Apr Average, Sao Tome and Principe, STP
323.669, 2002, May Average, Sao Tome and Principe, STP
81.2617, 2002, Jun Average, Sao Tome and Principe, STP
270.783, 2002, Jul Average, Sao Tome and Principe, STP
167.421, 2002, Aug Average, Sao Tome and Principe, STP
252.112, 2002, Sep Average, Sao Tome and Principe, STP
306.664, 2002, Oct Average, Sao Tome and Principe, STP
272.865, 2002, Nov Average, Sao Tome and Principe, STP
194.648, 2002, Dec Average, Sao Tome and Principe, STP
232.624, 2003, Jan Average, Sao Tome and Principe, STP
159.691, 2003, Feb Average, Sao Tome and Principe, STP
144.687, 2003, Mar Average, Sao Tome and Principe, STP
170.893, 2003, Apr Average, Sao Tome and Principe, STP
95.7731, 2003, May Average, Sao Tome and Principe, STP
310.363, 2003, Jun Average, Sao Tome and Principe, STP
57.7972, 2003, Jul Average, Sao Tome and Principe, STP
51.667, 2003, Aug Average, Sao Tome and Principe, STP
242.977, 2003, Sep Average, Sao Tome and Principe, STP
347.81, 2003, Oct Average, Sao Tome and Principe, STP
164.281, 2003, Nov Average, Sao Tome and Principe, STP
126.597, 2003, Dec Average, Sao Tome and Principe, STP
132.853, 2004, Jan Average, Sao Tome and Principe, STP
153.691, 2004, Feb Average, Sao Tome and Principe, STP
123.106, 2004, Mar Average, Sao Tome and Principe, STP
167.838, 2004, Apr Average, Sao Tome and Principe, STP
51.1025, 2004, May Average, Sao Tome and Principe, STP
35.4023, 2004, Jun Average, Sao Tome and Principe, STP
35.6272, 2004, Jul Average, Sao Tome and Principe, STP
106.31, 2004, Aug Average, Sao Tome and Principe, STP
477.011, 2004, Sep Average, Sao Tome and Principe, STP
451.055, 2004, Oct Average, Sao Tome and Principe, STP
15.7605, 2004, Nov Average, Sao Tome and Principe, STP
160.935, 2004, Dec Average, Sao Tome and Principe, STP
116.893, 2005, Jan Average, Sao Tome and Principe, STP
169.042, 2005, Feb Average, Sao Tome and Principe, STP
168.368, 2005, Mar Average, Sao Tome and Principe, STP
113.951, 2005, Apr Average, Sao Tome and Principe, STP
33.4737, 2005, May Average, Sao Tome and Principe, STP
3.38085, 2005, Jun Average, Sao Tome and Principe, STP
11.1745, 2005, Jul Average, Sao Tome and Principe, STP
27.66, 2005, Aug Average, Sao Tome and Principe, STP
135.602, 2005, Sep Average, Sao Tome and Principe, STP
264.561, 2005, Oct Average, Sao Tome and Principe, STP
257.466, 2005, Nov Average, Sao Tome and Principe, STP
206.302, 2005, Dec Average, Sao Tome and Principe, STP
126.126, 2006, Jan Average, Sao Tome and Principe, STP
82.2416, 2006, Feb Average, Sao Tome and Principe, STP
69.1747, 2006, Mar Average, Sao Tome and Principe, STP
269.262, 2006, Apr Average, Sao Tome and Principe, STP
67.1417, 2006, May Average, Sao Tome and Principe, STP
0, 2006, Jun Average, Sao Tome and Principe, STP
53.4187, 2006, Jul Average, Sao Tome and Principe, STP
41.6435, 2006, Aug Average, Sao Tome and Principe, STP
148.236, 2006, Sep Average, Sao Tome and Principe, STP
237.685, 2006, Oct Average, Sao Tome and Principe, STP
344.804, 2006, Nov Average, Sao Tome and Principe, STP
241.757, 2006, Dec Average, Sao Tome and Principe, STP
123.909, 2007, Jan Average, Sao Tome and Principe, STP
41.0656, 2007, Feb Average, Sao Tome and Principe, STP
218.433, 2007, Mar Average, Sao Tome and Principe, STP
190.453, 2007, Apr Average, Sao Tome and Principe, STP
627.275, 2007, May Average, Sao Tome and Principe, STP
47.6062, 2007, Jun Average, Sao Tome and Principe, STP
135.558, 2007, Jul Average, Sao Tome and Principe, STP
106.892, 2007, Aug Average, Sao Tome and Principe, STP
458.628, 2007, Sep Average, Sao Tome and Principe, STP
430.653, 2007, Oct Average, Sao Tome and Principe, STP
295.865, 2007, Nov Average, Sao Tome and Principe, STP
286.056, 2007, Dec Average, Sao Tome and Principe, STP
196.809, 2008, Jan Average, Sao Tome and Principe, STP
68.5311, 2008, Feb Average, Sao Tome and Principe, STP
246.913, 2008, Mar Average, Sao Tome and Principe, STP
199.348, 2008, Apr Average, Sao Tome and Principe, STP
311.978, 2008, May Average, Sao Tome and Principe, STP
1.0816, 2008, Jun Average, Sao Tome and Principe, STP
1.08058, 2008, Jul Average, Sao Tome and Principe, STP
81.3001, 2008, Aug Average, Sao Tome and Principe, STP
263.995, 2008, Sep Average, Sao Tome and Principe, STP
560.453, 2008, Oct Average, Sao Tome and Principe, STP
152.779, 2008, Nov Average, Sao Tome and Principe, STP
232.614, 2008, Dec Average, Sao Tome and Principe, STP
136.78, 2009, Jan Average, Sao Tome and Principe, STP
164.657, 2009, Feb Average, Sao Tome and Principe, STP
188.187, 2009, Mar Average, Sao Tome and Principe, STP
190.297, 2009, Apr Average, Sao Tome and Principe, STP
425.479, 2009, May Average, Sao Tome and Principe, STP
64.4589, 2009, Jun Average, Sao Tome and Principe, STP
0.46148, 2009, Jul Average, Sao Tome and Principe, STP
37.7606, 2009, Aug Average, Sao Tome and Principe, STP
47.6533, 2009, Sep Average, Sao Tome and Principe, STP
329.785, 2009, Oct Average, Sao Tome and Principe, STP
255.671, 2009, Nov Average, Sao Tome and Principe, STP
212.801, 2009, Dec Average, Sao Tome and Principe, STP
216.533, 2010, Jan Average, Sao Tome and Principe, STP
202.004, 2010, Feb Average, Sao Tome and Principe, STP
301.068, 2010, Mar Average, Sao Tome and Principe, STP
91.3271, 2010, Apr Average, Sao Tome and Principe, STP
10.4826, 2010, May Average, Sao Tome and Principe, STP
28.6943, 2010, Jun Average, Sao Tome and Principe, STP
112.107, 2010, Jul Average, Sao Tome and Principe, STP
25.4233, 2010, Aug Average, Sao Tome and Principe, STP
82.8234, 2010, Sep Average, Sao Tome and Principe, STP
307.474, 2010, Oct Average, Sao Tome and Principe, STP
284.972, 2010, Nov Average, Sao Tome and Principe, STP
